Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
R5N Double Extra Large,r5n.2xlarge,64 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,$0.118 hourly / vCPU,$0.0744 hourly / vCPU,$0.0233 hourly / vCPU,$0.164 hourly / vCPU,$0.1204 hourly / vCPU
R5N Quadruple Extra Large,r5n.4xlarge,128 GiB,16 vCPUs,EBS only,Up to 25 Gigabit,$0.118 hourly / vCPU,$0.0743 hourly / vCPU,$0.0632 hourly / vCPU,$0.164 hourly / vCPU,$0.1203 hourly / vCPU
R5N Eight Extra Large,r5n.8xlarge,256 GiB,32 vCPUs,EBS only,25 Gigabit,$0.118 hourly / vCPU,$0.0743 hourly / vCPU,$0.0475 hourly / vCPU,$0.164 hourly / vCPU,$0.0743 hourly / vCPU
R5N 12xlarge Extra Large,r5n.12xlarge,384 GiB,48 vCPUs,EBS only,50 Gigabit,$0.118 hourly / vCPU,$0.0743 hourly / vCPU,$0.0463 hourly / vCPU,$0.164 hourly / vCPU,$0.1203 hourly / vCPU
R5N 16xlarge Extra Large,r5n.16xlarge,512 GiB,64 vCPUs,EBS only,75 Gigabit,$0.118 hourly / vCPU,$0.0743 hourly / vCPU,$0.0362 hourly / vCPU,$0.164 hourly / vCPU,$0.0743 hourly / vCPU
R5N 24xlarge,r5n.24xlarge,768 GiB,96 vCPUs,EBS only,100 Gigabit,$0.118 hourly / vCPU,$0.0743 hourly / vCPU,$0.0208 hourly / vCPU,$0.164 hourly / vCPU,$0.0743 hourly / vCPU
R5N Metal,r5n.metal,768 GiB,96 vCPUs,EBS only,100 Gigabit,$0.118 hourly / vCPU,$0.0743 hourly / vCPU,$0.0118 hourly / vCPU,$0.164 hourly / vCPU,$0.1203 hourly / vCPU
R6A Large,r6a.large,16 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6A Extra Large,r6a.xlarge,32 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6A Double Extra Large,r6a.2xlarge,64 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6A Quadruple Extra Large,r6a.4xlarge,128 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6A Eight Extra Large,r6a.8xlarge,256 GiB,32 vCPUs,EBS only,12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6A 12xlarge Extra Large,r6a.12xlarge,384 GiB,48 vCPUs,EBS only,18.75 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6A 16xlarge Extra Large,r6a.16xlarge,512 GiB,64 vCPUs,EBS only,25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6A 24xlarge,r6a.24xlarge,768 GiB,96 vCPUs,EBS only,37.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6A 32xlarge,r6a.32xlarge,1024 GiB,128 vCPUs,EBS only,50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6A 48xlarge,r6a.48xlarge,1536 GiB,192 vCPUs,EBS only,50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6A Metal,r6a.metal,1536 GiB,192 vCPUs,EBS only,50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6G Medium,r6g.medium,8 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,$0.0804 hourly / vCPU,$0.0507 hourly / vCPU,$0.008 hourly / vCPU,unavailable,unavailable
R6G Large,r6g.large,16 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.0804 hourly / vCPU,$0.0507 hourly / vCPU,$0.0328 hourly / vCPU,unavailable,unavailable
R6G Extra Large,r6g.xlarge,32 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.0804 hourly / vCPU,$0.0507 hourly / vCPU,$0.0116 hourly / vCPU,unavailable,unavailable
R6G Double Extra Large,r6g.2xlarge,64 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.0804 hourly / vCPU,$0.0507 hourly / vCPU,$0.0273 hourly / vCPU,unavailable,unavailable
R6G Quadruple Extra Large,r6g.4xlarge,128 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.0804 hourly / vCPU,$0.0507 hourly / vCPU,$0.029 hourly / vCPU,unavailable,unavailable
R6G Eight Extra Large,r6g.8xlarge,256 GiB,32 vCPUs,EBS only,12 Gigabit,$0.0804 hourly / vCPU,$0.0507 hourly / vCPU,$0.0238 hourly / vCPU,unavailable,unavailable
R6G 12xlarge Extra Large,r6g.12xlarge,384 GiB,48 vCPUs,EBS only,20 Gigabit,$0.0804 hourly / vCPU,$0.0507 hourly / vCPU,$0.0193 hourly / vCPU,unavailable,unavailable
R6G 16xlarge Extra Large,r6g.16xlarge,512 GiB,64 vCPUs,EBS only,25 Gigabit,$0.0804 hourly / vCPU,$0.0507 hourly / vCPU,$0.023 hourly / vCPU,unavailable,unavailable
R6G Metal,r6g.metal,512 GiB,64 vCPUs,EBS only,25 Gigabit,$0.0804 hourly / vCPU,$0.0507 hourly / vCPU,$0.008 hourly / vCPU,unavailable,unavailable
R6GD Medium,r6gd.medium,8 GiB,1 vCPUs,59 GB NVMe SSD,Up to 10 Gigabit,$0.0912 hourly / vCPU,$0.0575 hourly / vCPU,$0.0098 hourly / vCPU,unavailable,unavailable
R6GD Large,r6gd.large,16 GiB,2 vCPUs,118 GB NVMe SSD,Up to 10 Gigabit,$0.0912 hourly / vCPU,$0.0575 hourly / vCPU,$0.024 hourly / vCPU,unavailable,unavailable
R6GD Extra Large,r6gd.xlarge,32 GiB,4 vCPUs,237 GB NVMe SSD,Up to 10 Gigabit,$0.0912 hourly / vCPU,$0.0575 hourly / vCPU,$0.0092 hourly / vCPU,unavailable,unavailable
R6GD Double Extra Large,r6gd.2xlarge,64 GiB,8 vCPUs,474 GB NVMe SSD,Up to 10 Gigabit,$0.0912 hourly / vCPU,$0.0575 hourly / vCPU,$0.0096 hourly / vCPU,unavailable,unavailable
R6GD Quadruple Extra Large,r6gd.4xlarge,128 GiB,16 vCPUs,950 GB NVMe SSD,Up to 10 Gigabit,$0.0912 hourly / vCPU,$0.0575 hourly / vCPU,$0.0271 hourly / vCPU,unavailable,unavailable
R6GD Eight Extra Large,r6gd.8xlarge,256 GiB,32 vCPUs,1900 GB NVMe SSD,12 Gigabit,$0.0912 hourly / vCPU,$0.0575 hourly / vCPU,$0.041 hourly / vCPU,unavailable,unavailable
R6GD 12xlarge Extra Large,r6gd.12xlarge,384 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),20 Gigabit,$0.0912 hourly / vCPU,$0.0575 hourly / vCPU,$0.0439 hourly / vCPU,unavailable,unavailable
R6GD 16xlarge Extra Large,r6gd.16xlarge,512 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$0.0912 hourly / vCPU,$0.0575 hourly / vCPU,$0.0335 hourly / vCPU,unavailable,unavailable
R6GD Metal,r6gd.metal,512 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,$0.0912 hourly / vCPU,$0.0575 hourly / vCPU,$0.0091 hourly / vCPU,unavailable,unavailable
R6I Large,r6i.large,16 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1005 hourly / vCPU,$0.0664 hourly / vCPU,$0.0334 hourly / vCPU,$0.1465 hourly / vCPU,$0.1124 hourly / vCPU
R6I Extra Large,r6i.xlarge,32 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1005 hourly / vCPU,$0.0664 hourly / vCPU,$0.0195 hourly / vCPU,$0.1465 hourly / vCPU,$0.1124 hourly / vCPU
R6I Double Extra Large,r6i.2xlarge,64 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1005 hourly / vCPU,$0.0664 hourly / vCPU,$0.0287 hourly / vCPU,$0.1465 hourly / vCPU,$0.1124 hourly / vCPU
R6I Quadruple Extra Large,r6i.4xlarge,128 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1005 hourly / vCPU,$0.0664 hourly / vCPU,$0.0413 hourly / vCPU,$0.1465 hourly / vCPU,$0.0664 hourly / vCPU
R6I Eight Extra Large,r6i.8xlarge,256 GiB,32 vCPUs,EBS only,12.5 Gigabit,$0.1005 hourly / vCPU,$0.0664 hourly / vCPU,$0.0416 hourly / vCPU,$0.1465 hourly / vCPU,$0.1124 hourly / vCPU
R6I 12xlarge Extra Large,r6i.12xlarge,384 GiB,48 vCPUs,EBS only,18.75 Gigabit,$0.1005 hourly / vCPU,$0.0664 hourly / vCPU,$0.0405 hourly / vCPU,$0.1465 hourly / vCPU,$0.1124 hourly / vCPU
R6I 16xlarge Extra Large,r6i.16xlarge,512 GiB,64 vCPUs,EBS only,25 Gigabit,$0.1005 hourly / vCPU,$0.0664 hourly / vCPU,$0.0371 hourly / vCPU,$0.1465 hourly / vCPU,$0.0664 hourly / vCPU
R6I 24xlarge,r6i.24xlarge,768 GiB,96 vCPUs,EBS only,37.5 Gigabit,$0.1005 hourly / vCPU,$0.0664 hourly / vCPU,$0.0444 hourly / vCPU,$0.1465 hourly / vCPU,$0.0664 hourly / vCPU
R6I 32xlarge,r6i.32xlarge,1024 GiB,128 vCPUs,EBS only,50 Gigabit,$0.1005 hourly / vCPU,$0.0664 hourly / vCPU,$0.0198 hourly / vCPU,$0.1465 hourly / vCPU,$0.1124 hourly / vCPU
R6I Metal,r6i.metal,1024 GiB,128 vCPUs,EBS only,50 Gigabit,$0.1005 hourly / vCPU,$0.0664 hourly / vCPU,$0.0101 hourly / vCPU,$0.1465 hourly / vCPU,$0.0664 hourly / vCPU
R6ID Large,r6id.large,16 GiB,2 vCPUs,118 GB NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6ID Extra Large,r6id.xlarge,32 GiB,4 vCPUs,237 GB NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6ID Double Extra Large,r6id.2xlarge,64 GiB,8 vCPUs,474 GB NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6ID Quadruple Extra Large,r6id.4xlarge,128 GiB,16 vCPUs,950 GB NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6ID Eight Extra Large,r6id.8xlarge,256 GiB,32 vCPUs,1900 GB NVMe SSD,12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6ID 12xlarge Extra Large,r6id.12xlarge,384 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),18.75 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6ID 16xlarge Extra Large,r6id.16xlarge,512 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6ID 24xlarge,r6id.24xlarge,768 GiB,96 vCPUs,5700 GB (4×1425 GB NVMe SSD),37.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6ID 32xlarge,r6id.32xlarge,1024 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6ID Metal,r6id.metal,1024 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IDN Large,r6idn.large,16 GiB,2 vCPUs,118 GB NVMe SSD,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IDN Extra Large,r6idn.xlarge,32 GiB,4 vCPUs,237 GB NVMe SSD,Up to 30 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IDN Double Extra Large,r6idn.2xlarge,64 GiB,8 vCPUs,474 GB NVMe SSD,Up to 40 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IDN Quadruple Extra Large,r6idn.4xlarge,128 GiB,16 vCPUs,950 GB NVMe SSD,Up to 50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IDN Eight Extra Large,r6idn.8xlarge,256 GiB,32 vCPUs,1900 GB NVMe SSD,50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IDN 12xlarge Extra Large,r6idn.12xlarge,384 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),75 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IDN 16xlarge Extra Large,r6idn.16xlarge,512 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IDN 24xlarge,r6idn.24xlarge,768 GiB,96 vCPUs,5700 GB (4×1425 GB NVMe SSD),150 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IDN 32xlarge,r6idn.32xlarge,1024 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),200 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IDN Metal,r6idn.metal,1024 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),200 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IN Large,r6in.large,16 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IN Extra Large,r6in.xlarge,32 GiB,4 vCPUs,EBS only,Up to 30 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IN Double Extra Large,r6in.2xlarge,64 GiB,8 vCPUs,EBS only,Up to 40 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IN Quadruple Extra Large,r6in.4xlarge,128 GiB,16 vCPUs,EBS only,Up to 50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IN Eight Extra Large,r6in.8xlarge,256 GiB,32 vCPUs,EBS only,50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IN 12xlarge Extra Large,r6in.12xlarge,384 GiB,48 vCPUs,EBS only,75 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IN 16xlarge Extra Large,r6in.16xlarge,512 GiB,64 vCPUs,EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IN 24xlarge,r6in.24xlarge,768 GiB,96 vCPUs,EBS only,150 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IN 32xlarge,r6in.32xlarge,1024 GiB,128 vCPUs,EBS only,200 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R6IN Metal,r6in.metal,1024 GiB,128 vCPUs,EBS only,200 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7A Medium,r7a.medium,8 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7A Large,r7a.large,16 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7A Extra Large,r7a.xlarge,32 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7A Double Extra Large,r7a.2xlarge,64 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7A Quadruple Extra Large,r7a.4xlarge,128 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7A Eight Extra Large,r7a.8xlarge,256 GiB,32 vCPUs,EBS only,12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7A 12xlarge Extra Large,r7a.12xlarge,384 GiB,48 vCPUs,EBS only,18.75 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7A 16xlarge Extra Large,r7a.16xlarge,512 GiB,64 vCPUs,EBS only,25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7A 24xlarge,r7a.24xlarge,768 GiB,96 vCPUs,EBS only,37.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7A 32xlarge,r7a.32xlarge,1024 GiB,128 vCPUs,EBS only,50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7A 48xlarge,r7a.48xlarge,1536 GiB,192 vCPUs,EBS only,50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7A Metal-48xl,r7a.metal-48xl,1536 GiB,192 vCPUs,EBS only,50 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7G Medium,r7g.medium,8 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0852 hourly / vCPU,$0.0565 hourly / vCPU,$0.0085 hourly / vCPU,unavailable,unavailable
R7G Large,r7g.large,16 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0852 hourly / vCPU,$0.0565 hourly / vCPU,$0.0295 hourly / vCPU,unavailable,unavailable
R7G Extra Large,r7g.xlarge,32 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0852 hourly / vCPU,$0.0565 hourly / vCPU,$0.0087 hourly / vCPU,unavailable,unavailable
R7G Double Extra Large,r7g.2xlarge,64 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,$0.0852 hourly / vCPU,$0.0565 hourly / vCPU,$0.0171 hourly / vCPU,unavailable,unavailable
R7G Quadruple Extra Large,r7g.4xlarge,128 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,$0.0852 hourly / vCPU,$0.0565 hourly / vCPU,$0.0271 hourly / vCPU,unavailable,unavailable
R7G Eight Extra Large,r7g.8xlarge,256 GiB,32 vCPUs,EBS only,15 Gigabit,$0.0852 hourly / vCPU,$0.0565 hourly / vCPU,$0.0252 hourly / vCPU,unavailable,unavailable
R7G 12xlarge Extra Large,r7g.12xlarge,384 GiB,48 vCPUs,EBS only,22.5 Gigabit,$0.0852 hourly / vCPU,$0.0565 hourly / vCPU,$0.0195 hourly / vCPU,unavailable,unavailable
R7G 16xlarge Extra Large,r7g.16xlarge,512 GiB,64 vCPUs,EBS only,30 Gigabit,$0.0852 hourly / vCPU,$0.0565 hourly / vCPU,$0.0184 hourly / vCPU,unavailable,unavailable
R7G Metal,r7g.metal,512 GiB,64 vCPUs,EBS only,30 Gigabit,$0.0852 hourly / vCPU,$0.0565 hourly / vCPU,$0.0094 hourly / vCPU,unavailable,unavailable
R7GD Medium,r7gd.medium,8 GiB,1 vCPUs,59 GB NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7GD Large,r7gd.large,16 GiB,2 vCPUs,118 GB NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7GD Extra Large,r7gd.xlarge,32 GiB,4 vCPUs,237 GB NVMe SSD,Up to 12.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7GD Double Extra Large,r7gd.2xlarge,64 GiB,8 vCPUs,474 GB NVMe SSD,Up to 15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7GD Quadruple Extra Large,r7gd.4xlarge,128 GiB,16 vCPUs,950 GB NVMe SSD,Up to 15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7GD Eight Extra Large,r7gd.8xlarge,256 GiB,32 vCPUs,1900 GB NVMe SSD,15 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7GD 12xlarge Extra Large,r7gd.12xlarge,384 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),22.5 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7GD 16xlarge Extra Large,r7gd.16xlarge,512 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7GD Metal,r7gd.metal,512 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R7I Large,r7i.large,16 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1055 hourly / vCPU,$0.0697 hourly / vCPU,$0.0113 hourly / vCPU,$0.1515 hourly / vCPU,$0.1157 hourly / vCPU
R7I Extra Large,r7i.xlarge,32 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1055 hourly / vCPU,$0.0697 hourly / vCPU,$0.0109 hourly / vCPU,$0.1515 hourly / vCPU,$0.1157 hourly / vCPU
R7I Double Extra Large,r7i.2xlarge,64 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1055 hourly / vCPU,$0.0697 hourly / vCPU,$0.0106 hourly / vCPU,$0.1515 hourly / vCPU,$0.1157 hourly / vCPU
R7I Quadruple Extra Large,r7i.4xlarge,128 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1055 hourly / vCPU,$0.0697 hourly / vCPU,$0.0334 hourly / vCPU,$0.1515 hourly / vCPU,$0.1157 hourly / vCPU
R7I Eight Extra Large,r7i.8xlarge,256 GiB,32 vCPUs,EBS only,12.5 Gigabit,$0.1055 hourly / vCPU,$0.0697 hourly / vCPU,$0.033 hourly / vCPU,$0.1515 hourly / vCPU,$0.1157 hourly / vCPU
